Czas	Masa[g]
2026-01-13 08:40:37.682682	0.000
2026-01-13 08:40:37.744419	0.000
2026-01-13 08:40:37.867825	0.000
2026-01-13 08:40:37.929371	0.000
2026-01-13 08:40:38.053562	0.000
2026-01-13 08:40:38.115125	0.000
2026-01-13 08:40:38.238701	0.000
2026-01-13 08:40:38.300679	0.000
2026-01-13 08:40:38.424383	0.000
2026-01-13 08:40:38.486775	0.000
2026-01-13 08:40:38.559001	0.000
2026-01-13 08:40:38.682884	0.000
2026-01-13 08:40:38.744554	0.000
2026-01-13 08:40:38.869162	0.000
2026-01-13 08:40:38.931177	0.000
2026-01-13 08:40:39.054794	0.000
2026-01-13 08:40:39.116781	0.000
2026-01-13 08:40:39.240366	0.000
2026-01-13 08:40:39.302697	0.000
2026-01-13 08:40:39.364636	0.000
2026-01-13 08:40:39.488203	0.000
2026-01-13 08:40:39.551225	0.000
2026-01-13 08:40:39.675436	0.000
2026-01-13 08:40:39.737245	0.000
2026-01-13 08:40:39.892049	0.000
2026-01-13 08:40:39.933445	0.000
2026-01-13 08:40:39.995455	0.000
2026-01-13 08:40:40.119026	0.000
2026-01-13 08:40:40.181195	0.000
2026-01-13 08:40:40.305201	0.000
2026-01-13 08:40:40.367498	0.000
2026-01-13 08:40:40.491378	0.000
2026-01-13 08:40:40.553020	0.000
2026-01-13 08:40:40.678092	0.000
2026-01-13 08:40:40.739427	0.000
2026-01-13 08:40:40.802146	0.000
2026-01-13 08:40:40.926150	0.000
2026-01-13 08:40:40.987538	0.000
2026-01-13 08:40:41.111784	0.000
2026-01-13 08:40:41.184163	0.000
2026-01-13 08:40:41.307967	0.000
2026-01-13 08:40:41.370180	0.000
2026-01-13 08:40:41.494167	0.000
2026-01-13 08:40:41.555830	0.000
2026-01-13 08:40:41.618383	0.000
2026-01-13 08:40:41.742984	0.000
2026-01-13 08:40:41.804912	0.000
2026-01-13 08:40:41.928652	0.000
2026-01-13 08:40:41.990678	0.000
2026-01-13 08:40:42.115026	5.550
2026-01-13 08:40:42.176775	47.450
2026-01-13 08:40:42.300676	49.950
2026-01-13 08:40:42.363078	32.200
2026-01-13 08:40:42.496774	40.350
2026-01-13 08:40:42.558519	57.700
2026-01-13 08:40:42.620660	44.250
2026-01-13 08:40:42.744277	8.250
2026-01-13 08:40:42.806286	0.000
2026-01-13 08:40:42.888199	0.000
2026-01-13 08:40:42.991393	0.000
2026-01-13 08:40:43.115337	0.000
2026-01-13 08:40:43.177828	0.000
2026-01-13 08:40:43.239484	0.000
2026-01-13 08:40:43.363433	0.000
2026-01-13 08:40:43.424829	0.000
2026-01-13 08:40:43.549004	0.000
2026-01-13 08:40:43.614630	0.000
2026-01-13 08:40:43.743742	0.000
2026-01-13 08:40:43.805678	0.000
2026-01-13 08:40:43.867685	0.000
2026-01-13 08:40:43.991678	0.000
2026-01-13 08:40:44.053270	0.000
2026-01-13 08:40:44.177276	0.000
2026-01-13 08:40:44.239353	0.000
2026-01-13 08:40:44.363530	0.000
2026-01-13 08:40:44.425402	0.000
2026-01-13 08:40:44.549291	0.000
2026-01-13 08:40:44.611543	0.000
2026-01-13 08:40:44.684231	0.000
2026-01-13 08:40:44.807772	0.000
2026-01-13 08:40:44.869167	0.000
2026-01-13 08:40:44.992958	0.000
2026-01-13 08:40:45.054775	0.000
2026-01-13 08:40:45.178816	0.000
2026-01-13 08:40:45.240319	0.000
2026-01-13 08:40:45.364823	0.000
2026-01-13 08:40:45.426831	0.000
2026-01-13 08:40:45.488252	0.000
2026-01-13 08:40:45.613126	0.000
2026-01-13 08:40:45.674910	0.000
